"","scenario","climate.gcm","rcp","decade","manage.cost.rxfire.timberrev.transport.net_mean","manage.cost.rxfire.timberrev.transport.net_sd","all.costs.manage.timber.transport.rx.wildfire_mean","all.costs.manage.timber.transport.rx.wildfire_sd","wildfire.cost_mean","wildfire.cost_sd","chips.green.to.gen.mtons_mean","chips.green.to.gen.mtons_sd","timber.biomass.rev.post.trans.net_mean","timber.biomass.rev.post.trans.net_sd","timber.cuft.annualavg_mean","timber.cuft.annualavg_sd","biomass.cut.mtons_mean","biomass.cut.mtons_sd","cumulative.sequestration.allpools.mtons.carbon.decadeavg_mean","cumulative.sequestration.allpools.mtons.carbon.decadeavg_sd"
"175","3","CanESM",8.5,"(40,50]",1660522.64488026,312592.332721953,2597688.75824935,1343144.89974883,937166.113369097,1183132.73606139,3682.5335067343,536.497040081882,484203.065874901,73160.4931944287,1028150.13328598,19213.8394378534,55318.6266052891,2694.31601147627,542686.153204811,105687.651919675
"176","3","CanESM",8.5,"(50,60]",2339367.89739535,579680.995589399,3736430.96608135,1760905.85468664,1397063.068686,1363943.14723636,4938.00605389839,1354.33489276585,614018.898778145,136141.982658875,1325459.07386597,47500.6013783219,75034.5823284402,4344.21415210033,678616.953925667,118520.477196842
"177","3","CanESM",8.5,"(60,70]",2827299.613555,593344.484028318,3710438.82415999,1295795.57507199,883139.210604993,896463.114997577,4895.37429460791,1156.07803606444,654296.172138162,142055.557997998,1497435.84561462,35812.5247165321,90613.4706089339,4074.5308996949,784206.651439211,140646.382439119
"178","3","CanESM",8.5,"(70,80]",3242674.98202622,702037.306201946,3755253.41244945,1047303.06706949,512578.430423235,571466.733575577,5482.9803225341,1872.71599930959,742028.187109318,184574.412569232,1693200.62112028,71995.2312524464,103261.753689852,5737.57320424183,866491.182116258,178886.441734173
"179","3","CanESM",8.5,"(80,90]",3379630.51487854,578998.274934429,4241914.68099804,1361299.17735198,862284.1661195,1050641.41067303,5633.98687865443,1586.65746754055,798454.067894136,171081.863450978,1811308.18482063,72871.3500964386,108108.812218059,6282.22515895588,955758.285844897,205784.156032575
"180","3","CanESM",8.5,"(90,100]",3240159.39382639,602248.507815189,3864997.60093709,1026500.28858039,624838.207110702,623201.909709435,5609.27086433336,1725.11774967569,848607.516419108,192054.956244969,1903264.43787171,102660.229376558,107569.57285511,5731.52450434368,1032104.17703357,230946.85416117
"181","3","CNRM",4.5,"(0,10]",5006959.47071423,370141.073476509,5976347.27782664,1414921.30241527,969387.807112416,1118047.3139276,16018.7754983325,1498.35968818897,1618032.27295158,138406.643531135,3408140.73082496,60533.1641984822,184394.936508564,2980.04803184452,-43172.5872319569,39782.2566063081
"182","3","CNRM",4.5,"(10,20]",1758305.27964099,224394.122788322,2564259.32154921,1184689.78724347,805954.041908214,1072082.7883204,4869.19664419231,468.238169882415,676114.352873522,63772.1700139196,1418317.36428748,16143.5110787101,72511.1818491238,857.666696963016,17527.4736855568,62355.4511801481
"183","3","CNRM",4.5,"(20,30]",1477347.71102765,348215.577170558,2701505.2844113,1231833.28763244,1224157.57338365,1032177.11808651,4044.37249641495,887.203125913384,514125.971252495,83366.5151237274,1050581.73619687,45184.504670474,53009.1954442733,671.494858527619,197880.631107177,65210.0424130418
"184","3","CNRM",4.5,"(30,40]",1267419.03425503,237063.434343085,2429327.01350073,1792058.69290425,1161907.97924571,1632079.3819529,2877.23712343326,481.236287980119,399012.725057303,57078.2033089291,848899.746563234,18790.1125697255,44320.2561383015,1269.52883382285,320787.41291222,65346.9349371429
